goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
S000218736039,1,2026 이지패스 ADsP 데이터분석 준전문가,,박현민 외,위키북스,2026-01-02,10%,27000,30000,1500원,0,359,9.9
S000219916961,2,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인","인공지능, 에이전트, 커넥터, 플러그인, 아티팩트, 스케줄링, 디스패치, 하네스, 바로 배우고 바로 써먹는 AI 입문서",차진우,골든래빗(주),2026-05-20,10%,25200,28000,1400원,0,14,10.0
S000218090666,3,2026 한 권으로 끝내는 시나공 컴활 2급 필기+실기,,길벗알앤디,길벗,2025-10-15,10%,24300,27000,1350원,0,78,9.6
S000218846417,4,2026 ADsP 데이터분석 준전문가,데이터에듀PT문제풀이앱+2025년도 최신 기출,윤종식,데이터에듀,2025-12-26,10%,27900,31000,1550원,0,90,9.8
S000218728879,5,혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호,한빛미디어,2025-12-16,10%,27000,30000,1500원,0,68,9.4
S000212021705,6,SQL 자격검정 실전문제,,한국데이터산업진흥원,한국데이터산업진흥원,2023-12-29,0%,18000,18000,540원,0,198,9.8
S000220048885,7,하네스 엔지니어링 with 클로드 코드,AI 에이전트 팀을 설계하고 운영하는 개발자 실전 가이드,황민호,한빛미디어,2026-06-11,10%,27000,30000,1500원,0,22,10.0
S000218090665,8,2026 한 권으로 끝내는 시나공 컴활 1급 필기+실기,,길벗알앤디,길벗,2025-10-15,10%,36000,40000,2000원,0,50,9.8
S000219929026,9,클로드 코드로 시작하는 실전 에이전틱 코딩,"완벽한 통제를 위한 AI 개발팀 구축 가이드, 하네스 엔지니어링, 에이전트 오케스트레이션, MoAI-ADK",Goos Kim,더 타이즈,2026-05-21,10%,29700,33000,1650원,0,51,9.7
S000217187013,10,2026 이기적 컴퓨터활용능력 2급 필기+실기 올인원,,홍태성 외,영진닷컴,2025-08-22,10%,26100,29000,1450원,0,69,9.7
S000220000024,11,일 잘하는 직장인의 AI 활용법,"구글 제미나이, 노트북LM, 나노바나나, 챗GPT, 클로드, 퍼플렉시티, Flow, Gems, 딥 리서치, 캡컷, Make 등 상황별로 골라 쓰는 AI 업무 툴 완전 가이드",김덕중 외,디지털북스,2026-06-01,10%,19800,22000,1100원,0,16,10.0
S000220363675,12,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,"ChatGPT부터 Google Gemini, Claude, 수노, 노트북LM, Flow, Omni, 나노바나나, 감마, 냅킨, 캡컷 숏폼 편집까지 초보자도 바로 쓰는 인공지능",지현이(디지털거북이),시프트,2026-07-30,10%,19800,22000,1100원,0,9,10.0
S000220293044,13,뚝딱 바로 써먹는 AI 3대장: 챗GPT · 제미나이 · 클로드,처음이어도 내일 바로 적용하는 진짜 쉬운 직장인 AI 활용법!,코리아교육그룹,안경다리북스,2026-06-22,10%,19800,22000,1100원,0,38,10.0
S000218962409,14,이지패스 2026 SQLD SQL 개발자,SQL 초보자를 위해 친절하게 설명한,전용문 외,위키북스,2026-01-16,10%,23400,26000,1300원,0,154,10.0
S000218498075,15,2026 시나공 컴퓨터활용능력 1급 필기 기출문제집,,길벗알앤디,길벗,2026-01-05,10%,15300,17000,850원,0,26,9.7
S000219545154,16,한눈에 보는 AI 반도체 산업,"GPU부터 HBM, 파운드리, 패키징, 데이터센터까지 하나의 흐름으로 읽는 AI 반도체 생태계",MrTrigger,한빛미디어,2026-03-31,10%,23400,26000,1300원,0,28,9.7
S000217937565,17,2026 이기적 SQLD SQL 개발자 기본서 이론+기출문제,동영상 강의 무료 제공+SQL 실습문제 제공,강태우,영진닷컴,2025-10-20,10%,21600,24000,1200원,0,84,9.4
S000218499838,18,2026 시나공 컴퓨터활용능력 2급 필기 기출문제집,,길벗알앤디,길벗,2026-01-05,10%,11700,13000,650원,0,22,9.7
S000220340251,19,피지컬 AI 시스템 설계,"LLM/VLM에서 VLA까지, 시뮬레이터·데이터·오픈 생태계로 설계하는 로봇 지능",엥지유니버스,한빛미디어,2026-06-17,10%,27000,30000,1500원,0,7,10.0
S000001952241,20,진짜 쓰는 실무 엑셀,"유튜브 대표 엑셀 채널, 오빠두가 알려 주는 엑셀 함수, 보고서 작성, 데이터 분석 노하우!",오빠두(전진권),제이펍,2022-02-15,10%,18900,21000,1050원,0,477,9.7
S000218197628,21,2026 시나공 정보처리기사 필기 기본서,,길벗알앤디,길벗,2025-11-24,10%,31500,35000,1750원,0,20,9.8
S000220042183,22,2026 수제비 정보처리기사 실기 Final 모의고사,"모의고사 30회, 기출문제(20년~26년 1회까지)",윤영빈 외,수제비출판사,2026-06-15,10%,30600,34000,1700원,0,5,10.0
S000217281540,23,2026 이기적 컴퓨터활용능력 1급 필기+실기 올인원,막판정리 핸드북 + 동영상 강의 무료 + CBT 온라인 문제집 제공,홍태성 외,영진닷컴,2025-08-29,10%,36000,40000,2000원,0,33,10.0
S000219142807,24,이게 되네? 제미나이 완전 미친 활용법 81제,"노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의, 챗봇, AI 자동화 앱, 이미지 생성, 영상 제작까지 일잘러 오대리의 인공지능 퍼펙트 활용 노하우",오힘찬,골든래빗(주),2026-02-10,10%,21600,24000,1200원,0,65,9.7
S000217176100,25,2026 이기적 빅데이터분석기사 필기 기본서,동영상 강의 무료 제공,나홍석 외,영진닷컴,2025-08-16,10%,29700,33000,1650원,0,86,9.4
S000219524044,26,"클로드 코워크 with 스킬, 플러그인",퇴근을 앞당기는 완벽한 업무 자동화,클리커 외,한빛미디어,2026-03-30,10%,23400,26000,1300원,0,31,10.0
S000220048974,27,2027 이기적 AI-POT AI 프롬프트활용능력 1급 기본서,한국생산성본부(KPC) 공식인증교재+동영상 강의 무료,김영진,영진닷컴,2026-06-26,10%,27000,30000,1500원,0,4,10.0
S000220054039,28,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",기획부터 엑시트까지 코드 한 줄 없이 글로벌 매출을 만드는 1인 프로덕트 빌더 풀코스,조동근,한빛미디어,2026-05-25,10%,27000,30000,1500원,0,11,8.8
S000219916946,29,바로바로 제미나이 X 구글 AI,"구글 웍스, 노트북LM, 딥 리서치, 플로우, 구글 AI 스튜디오, 나노 바나나, 스티치, 오팔 바로 배우고 바로 써먹는 AI 입문서",공냥이,골든래빗(주),2026-06-01,10%,21600,24000,1200원,0,9,9.7
S000218797359,30,2026 해커스 전산회계 1급 3주 합격 이론+실무+최신기출 12회분+무료특강,최신기출문제 해설강의｜이론+실무 전 강의｜KcLep 프로그램 사용법 강의｜빈출분개 100선 미니북,이남호,해커스금융,2026-01-02,10%,27900,31000,1550원,0,17,9.8
S000219725328,31,클로드 코드 마스터,기획·개발·운영이 한 번에 끝나는 AI 에이전틱 코딩 워크플로,이남희 외,한빛미디어,2026-04-24,10%,32400,36000,1800원,0,21,10.0
S000216845429,32,2026 이기적 컴퓨터활용능력 2급 필기 기본서,,홍태성 외,영진닷컴,2025-07-20,10%,18900,21000,1050원,0,66,9.8
S000219931400,33,프로덕트 디자이너로 살아남기,"인공지능의 시대, 디자이너의 일",강영화,이오스튜디오,2026-05-27,10%,17100,19000,950원,0,7,9.3
S000220220936,34,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,"자연어로 구축하고 운영하는 AI 네이티브 시대의 첫 인프라 실습서! AI 에이전트, GCP, AWS, Azure, 코덱스 CLI, 제미나이 CLI, 스타트업, 엔터프라이즈, 바이브코딩, GitAIOps, AI 튜터, 가드레일",조훈,길벗,2026-06-19,10%,21600,24000,1200원,0,7,10.0
S000220285512,35,"클로드 올인원 with 코워크, 코드, 디자인","문서 작업부터 대시보드 제작까지, 지금 바로 시작하는 업무 자동화",클리커 외,한빛미디어,2026-06-16,10%,28800,32000,1600원,0,7,10.0
S000219796225,36,된다! 캡컷 영상 편집,"긴 유튜브 영상도 쇼츠ㆍ릴스도 OK! 크로마키, 자동 자막부터 AI 더빙까지",지민이,이지스퍼블리싱,2026-05-06,10%,19800,22000,1100원,0,30,9.9
S000219742796,37,바이브 코더를 위한 최소한의 AI/IT 지식,‘이게 왜 되지?’ 개발 안 해본 개발자의 난생처음 바이브 코딩 입문서,클리커 외,한빛미디어,2026-04-28,10%,19800,22000,1100원,0,21,10.0
S000061352349,38,혼자 공부하는 파이썬,1:1 과외하듯 배우는 프로그래밍 자습서,윤인성,한빛미디어,2022-06-01,10%,19800,22000,1100원,0,178,9.8
S000219811055,39,2026 해커스 전산세무 2급 한권합격 이론+실무+최신기출 12회분+무료특강,빈출분개+연말정산 미니북 | 최신 개정세법 자료집 | 기초 회계원리 학습자료 | 본 교재 인강,이남호,해커스금융,2026-04-27,10%,28800,32000,1600원,0,9,7.7
S000219002818,40,AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다 외,한빛미디어,2026-01-23,10%,28800,32000,1600원,0,26,9.7
S000218961160,41,2026 퀵패스 AI-POT AI 프롬프트 활용능력 1급,한국생산성본부(KPC) 공식인증교재,AI 프롬프트 활용능력 연구소 외,퀵패스,2026-01-19,10%,27000,30000,1500원,0,39,9.9
S000220509946,42,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지,홍차의 커스텀 브러시 제공 / 승인율 가이드 전자책 제공,스튜디오 홍차(최예슬),골든래빗(주),2026-07-09,10%,23220,25800,1290원,0,1,10.0
S000217048849,43,"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석,코리아닷컴,2025-08-12,10%,24300,27000,1350원,0,87,9.8
S000216885310,44,2026 이기적 컴퓨터활용능력 2급 실기 기본서,,박윤정,영진닷컴,2025-07-20,10%,20700,23000,1150원,0,48,10.0
S000219568684,45,세컨드 브레인은 옵시디언 with 클로드 코드,"입문자를 위한 기초 사용법부터 마크다운, 플러그인, PARA, 제텔카스텐, MCP, 옵시디언 CLI, 스킬, AI 활용까지!",시안,골든래빗(주),2026-04-13,10%,22500,25000,1250원,0,22,9.8
S000219240635,46,2026 이기적 CPPG 개인정보관리사 기출 900제,,이제이 외,영진닷컴,2026-03-04,10%,25200,28000,1400원,0,16,10.0
S000202532365,47,Do it! 점프 투 파이썬,중학생도 첫날부터 실습하는 초고속 입문서,박응용,이지스퍼블리싱,2023-06-15,10%,19800,22000,1100원,0,206,9.8
