goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
167573138,1,혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호,한빛미디어,2025년 12월,10%,27000,30000,"1,500원",81012,169,9.9
189114943,2,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인","인공지능, 에이전트, 커넥터, 플러그인, 아티팩트, 스케줄링, 디스패치, 하네스, 바로 배우고 바로 써먹는 AI 입문서",차진우,골든래빗,2026년 05월,10%,25200,28000,"1,400원",37461,7,10.0
176901674,3,이게 되네? 제미나이 완전 미친 활용법 81제,"나노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의",오힘찬,골든래빗,2026년 02월,10%,21600,24000,"1,200원",79983,161,9.8
192148896,4,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,"처음이어도 내일 바로 적용하는 진짜 쉬운 직장인 AI 활용법! 기획, 조사, 정리, 데이터 분석, 보고서, 메일, 업무 자동화까지 한 권으로 뚝딱! 끝내기",코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,10%,19800,22000,220원,9567,19,10.0
169849422,5,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!","안익재, 황의태",앤써북,2025년 12월,10%,17820,19800,990원,44430,93,10.0
150566390,6,"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석,코리아닷컴(Korea.com),2025년 08월,10%,24300,27000,"1,350원",77448,63,9.5
189818905,7,하네스 엔지니어링 with 클로드 코드,AI 에이전트 팀을 설계하고 운영하는 개발자 실전 가이드,황민호,한빛미디어,2026년 06월,10%,27000,30000,"1,500원",22545,29,9.4
183751609,8,한눈에 보는 AI 반도체 산업,,MrTrigger,한빛미디어,2026년 03월,10%,23400,26000,"1,300원",15609,147,9.9
189211422,9,클로드 코드로 시작하는 실전 에이전틱 코딩,"완벽한 통제를 위한 AI 개발팀 구축 가이드, 하네스 엔지니어링, 에이전트 오케스트레이션, MoAI-ADK",Goos Kim,더 타이즈,2026년 05월,10%,29700,33000,"1,650원",22704,12,9.8
185897982,10,바쁜 교사를 위한 바로 쓰는 AI,"수업 설계부터 학생 평가, 행정 업무까지! AI로 완성하는 실무 활용법","전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,10%,21600,24000,"1,200원",19641,19,10.0
192505185,11,피지컬 AI 시스템 설계,"LLM/VLM에서 VLA까지, 시뮬레이터·데이터·오픈 생태계로 설계하는 로봇 지능",엥지유니버스,한빛미디어,2026년 06월,10%,27000,30000,"1,500원",6291,2,10.0
186846424,12,클로드 코드 마스터,기획·개발·운영이 한 번에 끝나는 AI 에이전틱 코딩 워크플로,"이남희, 백승현",한빛미디어,2026년 04월,10%,32400,36000,"1,800원",15021,24,9.8
